"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Globus Warehousing and Trading Private Limited","Globus Warehousing and Trading Private Limited","6958953","Malout to Maharaja Ranjit Singh College Road, 1 Km from Abohar Malout Road, Near Railway Crossing, Village Malout, Tehsil Malout Distt.Muktsar, Malout to Maharaja Ranjit Singh College Road, 1 Km from Abohar Malout Road, Near Railway Crossing, Village Malout, Tehsil Malout Distt.Muktsar","Muktsar","PUNJAB","197500","14-Jul-2024","13-Jul-2029","9958097780","Active",""
"HARJIT KAUR","HARJIT KAUR PEG GODOWN","6821797","VILL KHOTHRAN,","Shahid Bhagat Singh Nagar","PUNJAB","14600","21-Dec-2023","20-Dec-2028","9814361225","Active",""
"HT warehousing","HT Warehouse","6969489","Unit-2 Ubhawal Road,","Sangrur","PUNJAB","9240","19-Aug-2024","18-Feb-2029","9216634191","Active",""
"HT warehousing","HT Warehousing","6970024","Unit No-1 Ubhawal road Village-Badrukhan,","Sangrur","PUNJAB","10000","20-Aug-2024","19-Feb-2029","9216634191","Active",""
"Indian Sucrose Limited","INDIAN SUCROSE LIMITED","3671641","G. T ROAD MUKERIAN DISTRICT HOSHIARPUR, MUKERIAN , HOSHIARPUR PUNJAB","Hoshiarpur","PUNJAB","97639","19-Mar-2021","18-Mar-2026","9115110505","Active",""
"Jai Kuber Godown","Jai Kuber Godown","6856710","Jaitu Goniana Road,","Bathinda","PUNJAB","10000","09-Feb-2024","08-Feb-2029","9988054510","Active",""
"M/S Anand & Company","Anand And Company Unit 1 & 2","6759609","Sri Ganganagar Road,Opp Orient Waxing Plant Alamgarh,","Firozpur","PUNJAB","15000","19-Jul-2023","18-Jul-2028","8230000088","Active",""
"Shri Radha Krishna Godowns","Shri Radha Krishna Godowns","6971014","Khasra No-399/723/732, Village-Khokhar,Sangatpura Road Lehragaga","Sangrur","PUNJAB","15000","27-Aug-2024","26-Aug-2029","9463069769","Active",""
"Shri Siddhivinayak Godowns","Shri Siddhivinayak Godowns","6989289","Mehlan Road Kanoi Sangrur,","Sangrur","PUNJAB","17920","28-Oct-2024","27-Apr-2029","9872246457","Active",""
"Suman Rani","Raman Covered Godown","6950133","gamri road dirba, sangrur,","Sangrur","PUNJAB","7140","26-Jun-2024","25-Jun-2029","9417337316","Active",""
